Date,Open,High,Low,Close,Adj Close,Volume,Change,gain,Loss,Avg Gain,Avg Loss,RS,RSI
1/15/2021,500,506.320007,495.100006,497.980011,497.980011,5895800,-2.879974,0,2.879974,4.034999286,5.177139286,0.779387817,43.80089655
1/19/2021,501,509.25,493.540009,501.769989,501.769989,12315800,3.789978,3.789978,0,3.937853143,5.177139286,0.760623372,43.20193542
1/20/2021,565.419983,593.289978,556.859985,586.340027,586.340027,32637500,84.570038,84.570038,0,9.139284429,5.177139286,1.765315539,63.83776152
1/21/2021,582.450012,588.75,570.400024,579.840027,579.840027,11802100,-6.5,0,6.5,9.139284429,5.192855857,1.759972678,63.76775727
1/22/2021,582.099976,583.98999,564.349976,565.169983,565.169983,7550800,-14.670044,0,14.670044,7.986430643,6.240716143,1.279729835,56.13515319
1/25/2021,567,569.75,548.650024,556.780029,556.780029,7207300,-8.389954,0,8.389954,7.986430643,5.563570357,1.435486591,58.9404432
1/26/2021,554.72998,567.98999,554.059998,561.929993,561.929993,5023800,5.149964,5.149964,0,8.354285214,5.416427714,1.54239762,60.66704939
1/27/2021,550.710022,556.419983,515.72998,523.280029,523.280029,8670300,-38.649964,0,38.649964,8.354285214,6.726425286,1.242009665,55.39715927
1/28/2021,535.880005,553.150024,530.73999,538.599976,538.599976,5969000,15.319947,15.319947,0,8.848565357,6.726425286,1.315492997,56.8126528
1/29/2021,538,541,530.179993,532.390015,532.390015,4325300,-6.209961,0,6.209961,8.740709714,7.169993929,1.219067938,54.93603495
2/1/2021,536.789978,545.059998,531.72998,539.039978,539.039978,3547500,6.649963,6.649963,0,9.215707071,6.362851929,1.448361077,59.15635118
2/2/2021,542.01001,555.47998,538.929993,548.159973,548.159973,3767600,9.119995,9.119995,0,9.867135286,6.016422929,1.640033522,62.12169309
2/3/2021,550.169983,550.47998,538.23999,539.450012,539.450012,3172300,-8.709961,0,8.709961,8.899991786,6.638563,1.340650346,57.27683114
2/4/2021,539.809998,559.47998,537.51001,552.159973,552.159973,5164500,12.709961,12.709961,0,9.807846143,6.143561286,1.596443119,61.48577288
2/5/2021,552.26001,554.440002,545.47998,550.789978,550.789978,2376200,-1.369995,0,1.369995,9.807846143,6.035705643,1.624970919,61.90433986
2/8/2021,555,555,543.700012,547.919983,547.919983,2791700,-2.869995,0,2.869995,9.537133429,6.240705286,1.528214039,60.44638687
2/9/2021,546,566,543,559.070007,559.070007,3703500,11.150024,11.150024,0,4.292846714,6.240705286,0.687878456,40.75402783
2/10/2021,562.5,566.650024,553.460022,563.590027,563.590027,3991300,4.52002,4.52002,0,4.615705286,5.776419571,0.799059907,44.41541407
2/11/2021,564.440002,565.929993,554.219971,557.590027,557.590027,2730600,-6,0,6,4.615705286,5.157130714,0.895014213,47.22994723
2/12/2021,556.940002,561.25,550.849976,556.52002,556.52002,2197100,-1.070007,0,1.070007,4.615705286,4.634277357,0.995992456,49.89961024
2/16/2021,557.289978,563.630005,552.72998,557.280029,557.280029,2624100,0.760009,0.760009,0,4.302137071,4.634277357,0.928329649,48.14164681
2/17/2021,550.98999,555.25,543.030029,551.340027,551.340027,2069600,-5.940002,0,5.940002,4.302137071,2.2978515,1.872243298,65.18400789
2/18/2021,549,550,538.22998,548.219971,548.219971,2456200,-3.120056,0,3.120056,3.207855143,2.520712643,1.272598506,55.99750693
2/19/2021,548,548.98999,538.809998,540.219971,540.219971,2841500,-8,0,8,3.207855143,2.648572571,1.211163771,54.77494643
2/22/2021,534.98999,541.789978,530.789978,533.780029,533.780029,3078600,-6.439942,0,6.439942,2.732857786,3.108568429,0.879137085,46.78408466
2/23/2021,525,548.539978,518.280029,546.150024,546.150024,4136500,12.369995,12.369995,0,2.965000643,3.108568429,0.953815465,48.81809374
2/24/2021,539.799988,556.849976,539.070007,553.409973,553.409973,3245000,7.259949,7.259949,0,3.483568429,2.486428357,1.4010331,58.35126138
2/25/2021,550.27002,556.47998,535.75,546.700012,546.700012,4252900,-6.709961,0,6.709961,2.575714071,2.965711286,0.868497916,46.48107491
2/26/2021,546.51001,553.090027,538,538.849976,538.849976,3755600,-7.850036,0,7.850036,2.575714071,3.428571357,0.751249953,42.89792852
3/1/2021,545.570007,552.140015,542,550.640015,550.640015,3041400,11.790039,11.790039,0,3.417859714,3.223571714,1.060271034,51.46269673
3/2/2021,553.340027,556.98999,546.02002,547.820007,547.820007,3042200,-2.820008,0,2.820008,2.621429429,3.425000857,0.765380664,43.35499303
3/3/2021,545.929993,548.01001,517.809998,520.700012,520.700012,5362400,-27.119995,0,27.119995,2.298570857,5.362143357,0.428666431,30.00465482
3/4/2021,521.5,531.5,507.679993,511.290009,511.290009,5034800,-9.410003,0,9.410003,2.298570857,5.605715,0.410040621,29.08005731
3/5/2021,511.980011,517.76001,498.790009,516.390015,516.390015,5070000,5.100006,5.100006,0,2.662857,5.529285929,0.481591481,32.50501149
3/8/2021,514.460022,518.840027,492.850006,493.329987,493.329987,3981800,-23.060028,0,23.060028,2.608570643,7.176430786,0.363491368,26.65886829
3/9/2021,507.309998,513.109985,503.820007,506.440002,506.440002,3470000,13.110015,13.110015,0,3.545000286,6.752144929,0.525018394,34.42702042
3/10/2021,513.5,518.969971,504.25,504.540009,504.540009,3771500,-1.899993,0,1.899993,3.545000286,6.664997571,0.531883207,34.72087199
3/11/2021,512.200012,530.23999,510.709991,523.059998,523.059998,4714500,18.519989,18.519989,0,4.867856643,6.093569,0.798851485,44.40897381
3/12/2021,512.5,526.51001,506.589996,518.02002,518.02002,3981700,-5.039978,0,5.039978,4.867856643,5.993571571,0.812179614,44.81783194
3/15/2021,516.320007,520.72998,508.029999,520.25,520.25,3484300,2.22998,2.22998,0,4.143569857,5.993571571,0.691335677,40.87513118
3/16/2021,524.469971,533.419983,523.210022,524.030029,524.030029,3238900,3.780029,3.780029,0,3.895004143,5.993571571,0.649863624,39.38892977
3/17/2021,522,528.369995,514.299988,524.440002,524.440002,2817400,0.409973,0.409973,0,3.924287929,5.514288643,0.711658055,41.57711599
3/18/2021,516.400024,517.900024,503.850006,504.790009,504.790009,4094500,-19.649993,0,19.649993,3.924287929,6.357142714,0.617303733,38.16869525
3/19/2021,504.959991,513.190002,501.630005,512.179993,512.179993,4386400,7.389984,7.389984,0,3.609998286,6.357142714,0.567864912,36.21899486
3/22/2021,509.130005,529.309998,509.130005,523.109985,523.109985,3360600,10.929992,10.929992,0,4.390712,6.155713571,0.713274253,41.63222857
